wl_micron nw
1.8324 1.313341
1.83208 1.313357
1.83175 1.31337
1.83111 1.313401
1.83078 1.313419
1.83046 1.313435
1.83014 1.313451
1.82982 1.313463
1.82949 1.313476
1.82917 1.313489
1.82885 1.313501
1.82852 1.313511
1.8282 1.313524
1.82756 1.313541
1.71056 1.316746
1.71028 1.316753
1.71 1.316759
1.70972 1.316766
1.70944 1.316773
1.70915 1.31678
1.70859 1.316793
1.70831 1.3168
1.70803 1.316806
1.70775 1.316813
1.70747 1.31682
1.70718 1.316827
1.7069 1.316833
1.70662 1.31684
1.70606 1.316854
1.7055 1.316867
1.70522 1.316873
1.70494 1.31688
1.70466 1.316887
1.70438 1.316893
1.7041 1.3169
1.70382 1.316907
1.70354 1.316913
1.70298 1.316926
1.7027 1.316933
1.70242 1.316939
1.70214 1.316946
1.70186 1.316953
1.70158 1.316959
1.7013 1.316966
1.70102 1.316972
1.70074 1.316979
1.70046 1.316985
1.69991 1.316998
1.69963 1.317005
1.69935 1.317011
1.69907 1.317018
1.69879 1.317024
1.69851 1.317031
1.69824 1.317037
1.69796 1.317044
1.69768 1.31705
1.6974 1.317056
1.69685 1.317069
1.69657 1.317076
1.69629 1.317082
1.69601 1.317089
1.69574 1.317095
1.69546 1.317102
1.69518 1.317108
1.6949 1.317114
1.69463 1.317121
1.69435 1.317127
1.6938 1.31714
1.69352 1.317146
1.69324 1.317153
1.69297 1.317159
1.69269 1.317165
1.69241 1.317171
1.69214 1.317178
1.69186 1.317184
1.69159 1.317191
1.69131 1.317197
1.69076 1.317209
1.69048 1.317216
1.69021 1.317222
1.68993 1.317228
1.68966 1.317234
1.68938 1.317241
1.68911 1.317247
1.68883 1.317253
1.68828 1.317266
1.68773 1.317278
1.68746 1.317284
1.68718 1.317291
1.68691 1.317297
1.68663 1.317303
1.68636 1.317309
1.68608 1.317316
1.68581 1.317322
1.68526 1.317334
1.68499 1.31734
1.68471 1.317346
1.68444 1.317352
1.68417 1.317358
1.68389 1.317365
1.68362 1.317371
1.68335 1.317377
1.68307 1.317383
1.6828 1.317389
1.68225 1.317401
1.68198 1.317407
1.68171 1.317414
1.68144 1.317419
1.68116 1.317426
1.68089 1.317432
1.68062 1.317438
1.68035 1.317444
1.68007 1.31745
1.6798 1.317456
1.67926 1.317468
1.67899 1.317474
1.67871 1.31748
1.67844 1.317486
1.67817 1.317492
1.6779 1.317498
1.67763 1.317504
1.67736 1.31751
1.67708 1.317516
1.67681 1.317522
1.67627 1.317534
1.676 1.31754
1.67573 1.317546
1.67546 1.317552
1.67519 1.317558
1.67492 1.317564
1.67465 1.31757
1.67438 1.317576
1.6741 1.317582
1.67383 1.317588
1.67329 1.317599
1.67302 1.317606
1.67275 1.317611
1.67248 1.317617
1.67222 1.317623
1.67195 1.317629
1.67168 1.317635
1.67141 1.317641
1.67087 1.317653
1.67033 1.317664
1.67006 1.31767
1.66979 1.317676
1.66952 1.317682
1.66925 1.317688
1.66898 1.317693
1.66872 1.317699
1.66845 1.317705
1.66791 1.317716
1.66764 1.317722
1.66737 1.317728
1.66711 1.317734
1.66684 1.31774
1.66657 1.317745
